ID,label,description,aliases,Data type,Count
P706,located on terrain feature,located on the specified landform. Should not be used when the value is only political/administrative (P131) or a mountain range (P4552).,"geographical region, is on, terrain feature, on, is in, takes place in, loc (terr), location (terrain feature), on geographical feature, on natural feature",WikibaseItem,"52,366"
P108,employer,person or organization for which the subject works or worked,"workplace, employed by, worked at, worked for, working for, working place, works at, works for",WikibaseItem,"554,041"
P39,position held,subject currently or formerly holds the object position or public office,"holds position, office held, political office held, political seat, position occupied, public office",WikibaseItem,"580,811"
P170,creator,"maker of this creative work or other object (where no more specific property exists). Paintings with unknown painters, use ""anonymous"" (Q4233718) as value.","painter, sculptor, sculptors, created by, made by, artist (non-musical), creators, painters",WikibaseItem,"585,316"
P449,original network,"network(s) the radio or television show was originally aired on, not including later re-runs or additional syndication","television channel, radio station, radio network, TV channel, broadcast on, channel, first air channel, network, original air channel, original channel",WikibaseItem,"59,845"
P710,participant,"person, group of people or organization (object) that actively takes/took part in an event or process (subject). Preferably qualify with ""object has role"" (P3831). Use P1923 for participants that are teams.","agent, accused, party, attendee, belligerents, between, candidate, competitor, event participant, participants, perpetrator, player, suspect, victim",WikibaseItem,"60,198"
P30,continent,continent of which the subject is a part,,WikibaseItem,"60,243"
P840,narrative location,the narrative of the work is set in this location,"location of narrative, narrative set in, set in location, setting location, takes place in, playing in",WikibaseItem,"60,966"
P31,instance of,that class of which this subject is a particular example and member (subject typically an individual member with a proper name label); different from P279; using this property as a qualifier is deprecated—use P2868 or P3831 instead,"member of, type, is a, distinct element of, distinct individual member of, distinct member of, has class, has type, is a particular, is a specific, is a unique, is an, is an example of, is an individual, non-type member of, not a type but is instance of, occurrence of, rdf:type, uninstantiable instance of, unique individual of, unitary element of class, unsubclassable example of, unsubclassifiable member of, unsubtypable particular",WikibaseItem,"62,074,304"
P1441,present in work,"work in which this fictional entity (Q14897293) or historical person is present (use P2860 for works citing other works, P361/P1433 for works being part of / published in other works, P1343 for entities described in non-fictional accounts)","from narrative, appears in, described by work, featured in work, from work, in narrative, in work, is shown in, mentioned in, discussed in work",WikibaseItem,"63,214"
P807,separated from,subject was founded or started by separating from identified object,"forked from, schism from, seceded from",WikibaseItem,651
P1376,capital of,"country, state, department, canton or other administrative division of which the municipality is the governmental seat","county seat for, county seat of",WikibaseItem,"66,710"
P25,mother,"female parent of the subject. For stepmother, use ""stepparent"" (P3448)","mom, mum, child of, daughter of, is child of, is daughter of, is son of, parent, son of, mam, has mother",WikibaseItem,"71,019"
P241,military branch,"branch to which this military unit, award, office, or person belongs, e.g. Royal Navy","formation, branch, service branch",WikibaseItem,"72,403"
P272,production company,"company that produced this film, audio or performing arts work","film studio, theatre company, ballet company, studio, motion picture studio, movie studio, theatrical troupe, broadcasting company, production house, theater company",WikibaseItem,"75,700"
P1412,"languages spoken, written or signed","language(s) that a person speaks, writes or signs, including the native language(s)","language, used language, second language, language used, language of expression, language read, language signed, language spoken, language written, language(s) spoken, written or signed, languages of expression, languages signed, languages spoken, languages spoken, written, or signed, signed language, signs language, speaks language, spoke language, uses language, writes language, wrote language",WikibaseItem,"754,323"
P156,followed by,"immediately following item in a series of which the subject is a part [if the subject has been replaced, e.g. political offices, use ""replaced by"" (P1366)]","comes before, next is, precedes, preceeds, prequel of, sequel is, succeded by, successor",WikibaseItem,"764,963"
P551,residence,"the place where the person is or has been, resident","lives in, home town, hometown, lived in, place of residence, resident in, resident of, resided in, resided at",WikibaseItem,"77,413"
P1336,territory claimed by,administrative divisions that claim control of a given area,"claimed by, sovereignty claimed by",WikibaseItem,776
P150,contains administrative territorial entity,(list of) direct subdivisions of an administrative territorial entity,"contains, divided into, divides into, has administrative divisions, has arrondissements, has boroughs, has cities, has counties, has districts, has local government areas, has municipalities, has regions, has rural cities, has shires, has states, has towns, has villages, has wards, subdivided into, has members, has countries",WikibaseItem,"78,307"
P155,follows,"immediately prior item in a series of which the subject is a part [if the subject has replaced the preceding item, e.g. political offices, use ""replaces"" (P1365)]","preceded by, predecessor, succeeds, before was, comes after, prequel is, previous is, sequel of, split from, succeeds to, successor to",WikibaseItem,"782,379"
P131,located in the administrative territorial entity,the item is located on the territory of the following administrative entity. Use P276 (location) for specifying the location of non-administrative places and for items about events,"city, town, locality, administrative territorial entity, region, state, based in, happens in, in, in administrative unit, in the administrative unit, Indian reservation, is in administrative unit, is in the administrative region of, is in the administrative unit, is in the arrondissement of, is in the borough of, is in the city of, is in the commune of, is in the county of, is in the department of, is in the district of, is in the Indian reservation of, is in the Indian reserve of, is in the local government area of, is in the municipality of, is in the parish of, is in the prefecture of, is in the principal area of, is in the province of, is in the region of, is in the rural city of, is in the settlement of, is in the shire of, is in the state of, is in the territory of, is in the town of, is in the village of, is in the voivodeship of, is in the ward of, is located in, located in administrative unit, located in the administrative territorial entity, located in the administrative unit, located in the territorial entity, location (administrative territorial entity)",WikibaseItem,"8,395,570"
P176,manufacturer,manufacturer or producer of this product,"builder, made by, built by, mfr, maker, manufactured by, producer (of product), product of",WikibaseItem,"81,345"
P1001,applies to jurisdiction,"the item (an institution, law, public office ...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)","jurisdiction, applied to jurisdiction, applies to territorial jurisdiction, belongs to jurisdiction, country of jurisdiction, linked to jurisdiction, of jurisdiction, valid in jurisdiction",WikibaseItem,"827,088"
P749,parent organization,"parent organization of an organization, opposite of subsidiaries (P355)","holding company, holding, parent company, owned by (company or organisation), owned by (company or organization), parent agency, parent organisation, parent unit, part of, subsidiary of, superior formation",WikibaseItem,"86,797"
P1365,replaces,person or item replaced. Use P1398 (structure replaces) for structures. Use P155 (follows) if the previous item was not replaced or if predecessor and successor are identical,"continues from, forefather, preceded by, predecessor, previous job holder, replaced, succeeds, supersedes",WikibaseItem,"87,082"
P403,mouth of the watercourse,the body of water to which the watercourse drains,"outflow, drain, river mouth, confluences, outlet, tributary of, watercourse drain, watercourse ends in, watercourse outflow",WikibaseItem,"87,140"
P20,place of death,"most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character","POD, deathplace, location of death, death location, death place, died in",WikibaseItem,"885,884"
P1366,replaced by,"other person or item which continues the item by replacing it in its role. Use P156 (followed by) if the item is not replaced (e.g. books in a series), nor identical, but adds to the series without dropping the role of this item in that series","heir, successor, continued by, mediatised to, next job holder, succeeded by, superseded by",WikibaseItem,"89,766"
P37,official language,language designated as official by this item,"speaking, language official, language spoken, spoken in",WikibaseItem,"9,072"
P488,chairperson,"presiding member of an organization, group or body","chair, leader, president, chairman, chairwoman, headed by",WikibaseItem,"9,166"
P136,genre,creative work's genre or an artist's field of work (P101). Use main subject (P921) to relate creative works to their topic,"music genre, literary genre, film genre, genre of music, type of music, artistic genre, kind of music, type of film",WikibaseItem,"902,026"
P35,head of state,official with the highest formal authority in a country/state,"leader, president, queen, monarch, king, emperor, governor, state headed by, chief of state",WikibaseItem,926
P495,country of origin,"country of origin of this item (creative work, food, phrase, product, etc.)","comes from, CoO, origin (country), originates, place of origin",WikibaseItem,"946,155"
P69,educated at,educational institution attended by subject,"education, faculty, alma mater, alumna of, alumni of, alumnus of, college attended, graduate of, graduated from, school attended, studied at, university attended",WikibaseItem,"973,235"
